participant_id,order,condition,task,completion,correct_pair,explanation_score_0_2,time_seconds,confidence_1_5,trust_1_5,evidence_attempt,source_opened,moderator_help,key_hesitation,quote,notes
P01,1,A,T1,,,,,,,,,,,,
P01,2,B,T2,,,,,,,,,,,,
P02,1,B,T2,,,,,,,,,,,,
P02,2,A,T1,,,,,,,,,,,,
P03,1,A,T2,,,,,,,,,,,,
P03,2,B,T1,,,,,,,,,,,,
P04,1,B,T1,,,,,,,,,,,,
P04,2,A,T2,,,,,,,,,,,,
P05,1,A,T1,,,,,,,,,,,,
P05,2,B,T2,,,,,,,,,,,,
P06,1,B,T2,,,,,,,,,,,,
P06,2,A,T1,,,,,,,,,,,,
P07,1,A,T2,,,,,,,,,,,,
P07,2,B,T1,,,,,,,,,,,,
P08,1,B,T1,,,,,,,,,,,,
P08,2,A,T2,,,,,,,,,,,,
